Date,Open,High,Low,Close,Adj Close,Volume
2018-03-02,94.629997,95.750000,93.199997,95.599998,95.599998,3584700
2018-03-05,95.089996,97.290001,94.699997,96.660004,96.660004,2661400
2018-03-06,96.989998,96.989998,95.139999,96.070000,96.070000,3221100
2018-03-07,95.209999,95.730003,94.279999,95.639999,95.639999,3594900
2018-03-08,96.050003,96.680000,95.089996,96.589996,96.589996,3760500
2018-03-09,97.580002,99.110001,97.059998,99.050003,99.050003,3044300
2018-03-12,99.089996,99.699997,97.480003,97.669998,97.669998,4020900
2018-03-13,98.120003,98.230003,95.080002,95.370003,95.370003,4858700
2018-03-14,95.959999,96.169998,94.089996,94.529999,94.529999,3013800
2018-03-15,95.059998,95.410004,93.959999,94.389999,94.389999,3213000
2018-03-16,94.550003,96.389999,94.269997,95.610001,95.610001,5124900
2018-03-19,95.440002,95.480003,93.800003,94.839996,94.839996,2610400
2018-03-20,95.349998,95.650002,94.720001,94.949997,94.949997,2501600
2018-03-21,94.620003,96.269997,94.400002,94.739998,94.739998,2124000
2018-03-22,93.739998,93.959999,91.120003,91.410004,91.410004,4113900
2018-03-23,91.820000,92.360001,90.410004,90.449997,90.449997,5100400
2018-03-26,91.370003,92.989998,90.800003,92.620003,92.620003,2769800
2018-03-27,92.809998,93.739998,90.870003,91.419998,91.419998,4357300
2018-03-28,91.760002,93.540001,91.599998,92.209999,92.209999,5509700
2018-03-29,92.389999,94.370003,92.290001,93.279999,93.279999,4914600
2018-04-02,93.139999,93.540001,91.750000,91.769997,91.769997,739918
